y,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
5,-11.129815,-7.944548,-10.663517,-1.8643974,17.808563,-7.8623586,10.080214,-2.4734886,-8.598091,24.306845
5,-11.440727,-8.132003,-11.350139,-2.0903115,16.073473,-8.14628,8.69504,-2.6974754,-8.623779,23.186357
5,-11.392772,-8.128559,-11.534761,-1.6435956,16.898867,-7.967714,9.180287,-2.564278,-8.674157,23.633253
5,-11.304454,-8.340593,-10.952308,-1.8612539,15.268581,-7.7348647,8.1620865,-2.2582006,-8.602738,21.767342
5,-11.20182,-8.03858,-10.931638,-2.1792996,14.950862,-7.9079413,8.044081,-2.5793355,-8.525467,21.212221
5,-11.611004,-8.038706,-10.86007,-1.9567508,17.380838,-7.609138,10.043012,-2.697032,-8.298316,24.024391
5,-10.731692,-8.059239,-10.640802,-1.6801447,16.569216,-7.818252,9.505842,-2.7039104,-8.503581,22.463306
5,-10.986434,-8.105283,-10.911589,-1.9154748,16.581287,-8.000604,10.580749,-2.7837968,-8.164425,23.980345
5,-10.878018,-8.138095,-10.637112,-1.7826315,16.672716,-8.186174,9.93218,-2.4925647,-8.361587,23.60864
5,-11.11747,-8.174066,-10.610742,-1.9398152,16.85039,-8.227151,10.193684,-2.3749993,-8.523365,23.88687
5,-11.086172,-7.948233,-11.040631,-2.0615282,17.322433,-7.9904766,9.919043,-2.3576329,-8.443932,23.721712
5,-11.002587,-8.191161,-11.133538,-2.2977488,13.8356695,-7.6266675,7.3305798,-2.2113404,-8.272603,20.325026
5,-11.093819,-8.40693,-11.033281,-2.1708908,14.907255,-7.240968,7.6180053,-2.197632,-8.526511,20.737068
5,-11.702048,-7.9994197,-10.5606985,-1.795658,22.018183,-8.301901,11.386913,-2.7370343,-8.512983,29.455057
5,-11.625006,-8.027693,-11.099336,-1.7999017,22.101845,-8.277723,11.392092,-3.0652194,-8.396951,29.322063
5,-11.781202,-8.174119,-10.537042,-1.6507002,21.725605,-8.342649,11.931963,-2.871009,-8.507171,29.563072
5,-11.591242,-8.292444,-11.068139,-2.1558568,16.20401,-7.904138,8.539433,-2.484944,-8.508369,23.30026
5,-11.947045,-7.948636,-11.232117,-1.8851403,22.109447,-8.245167,11.181624,-2.9600544,-8.670388,29.182934
5,-11.900314,-8.112221,-10.614027,-1.9902648,21.883331,-8.299793,11.334994,-2.971243,-8.55281,28.600006
5,-11.643603,-8.258387,-11.318181,-1.2524717,22.04979,-8.158153,11.3874235,-2.712619,-8.662628,29.53762
5,-11.919709,-8.41639,-11.087319,-1.7309332,21.492102,-7.8912897,11.207817,-3.0328717,-8.595909,28.361204
5,-11.548648,-8.270632,-10.852034,-2.0794237,18.54684,-8.090232,10.550506,-2.4425213,-8.433146,24.684835
5,-11.587431,-8.133275,-11.047607,-1.7677402,21.740887,-8.163679,11.010734,-2.8718495,-8.554159,30.157036
5,-11.685608,-8.132506,-11.080918,-1.6552455,22.845095,-8.40454,11.265482,-2.6059074,-8.894048,30.769777
5,-11.907779,-8.038501,-10.990935,-1.7916683,21.269629,-8.344163,11.348113,-2.5594041,-8.558501,30.093216
5,-11.7669115,-7.6074405,-11.000867,-1.7518704,21.442707,-8.153712,11.622014,-2.7685592,-8.499851,30.829071
5,-11.490096,-8.321188,-10.863663,-1.6578034,21.580141,-8.253085,11.530641,-2.7758229,-8.573801,30.220634
5,-11.614791,-8.291639,-10.876257,-1.5731708,21.382713,-8.176461,10.997535,-2.7087002,-9.01535,30.396313
5,-12.227264,-8.162306,-11.05812,-1.588967,22.109655,-8.232553,11.777186,-2.6846638,-8.666265,29.661518
5,-11.654174,-8.2293005,-10.672124,-1.512063,22.336624,-8.143211,11.075007,-2.8755016,-8.443619,28.700523
5,-11.693139,-7.9730773,-10.804893,-1.621975,21.612179,-8.111225,12.45677,-2.9207985,-8.732158,30.30974
5,-11.461101,-8.01819,-10.921939,-1.1410251,21.840612,-8.158383,11.783172,-2.61769,-8.645079,30.684912
5,-11.765863,-8.167884,-10.980538,-1.502834,22.404394,-8.280826,12.5245695,-2.8871393,-8.5287695,29.421888
5,-11.740806,-7.916587,-11.07327,-1.5719697,21.611605,-8.014409,12.431542,-2.7628028,-8.687917,30.541702
5,-11.442111,-7.8255806,-11.207306,-1.3467772,21.465654,-8.362051,12.122065,-2.7524471,-8.684064,30.580774
5,-11.106653,-8.390288,-11.418572,-2.1646569,15.649473,-7.7398906,9.40879,-2.373561,-8.453871,21.847757
5,-11.677548,-7.8033195,-11.05457,-1.6739347,21.139095,-8.322006,11.718424,-2.5902174,-8.571268,30.013737
5,-11.4921665,-8.146159,-10.827915,-1.785059,21.614477,-8.239835,11.613745,-2.7443283,-8.676733,30.417536
5,-10.150453,-8.532923,-10.828066,-2.7595575,7.495321,-6.522909,9.890798,-2.4849613,-8.029257,5.063789
5,-10.278893,-8.515324,-11.360409,-3.2814739,5.8048024,-7.2838397,6.05232,-2.0865927,-8.409423,6.682784
