y,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
5,4.152816,0.61010575,0.4899891,-2.0027027,-0.7793873,-1.6891481,1.131827,-0.6846235,-1.292349,5.180584
5,4.6217575,0.8811518,2.5722156,-0.97104335,0.6558573,-2.5966678,0.7188639,-2.5217466,-1.4674946,5.611557
5,3.0442007,1.4465743,-0.16604966,0.16344601,-0.13609272,-0.28757754,-0.009670198,-0.6116156,-1.3839799,5.557611
5,3.2478735,0.5621383,0.9191196,-0.5189965,-1.9548795,-1.7266302,-0.525903,-0.8314606,-3.1099398,7.790894
5,4.2754455,0.3264404,1.3591031,-0.32232517,-1.0382781,-1.9904782,0.9356073,-2.768417,-2.5859802,4.4944453
5,3.4092393,2.0453992,0.7661509,-1.3360968,-0.17884469,-3.4070792,0.9868161,-2.9362686,-2.148281,6.445504
5,3.432447,1.0702355,1.4739225,-2.1281705,1.199032,-2.1276217,0.5512284,0.24973607,-1.8397703,5.5460234
5,4.139428,3.0056944,0.6657515,-2.0200467,-0.8923756,-2.5018718,0.82447624,-5.8079777,-2.2125213,6.724131
5,2.9843647,0.47562516,0.19682097,-0.9571011,-1.2454585,-1.7868178,2.4794803,-1.017761,-2.80873,4.5294156
5,3.5339816,0.73982596,-0.054754734,-0.64075875,1.738507,-3.1046922,1.6138543,-2.6535695,-1.9071138,5.5829935
5,2.5617871,2.7796657,0.59394616,-2.853015,-0.1585819,-0.9029609,1.1299897,-3.3518457,-3.2846408,5.38657
5,2.8032622,2.9347348,0.96578676,-0.7134314,-0.64390016,-1.269448,2.2289352,-1.1639507,-1.1871673,5.5979886
5,4.1130953,0.5549913,0.77064633,-1.8438509,0.5844858,-1.6338259,0.8494457,-1.6293619,-2.649276,4.886837
5,3.1494792,0.042727232,1.6504864,-2.3830762,-1.7659287,-1.4519767,-1.5375298,-2.7540343,-4.0321636,6.3773966
5,4.743314,1.1184516,0.028645396,-2.7810946,-0.48220336,-1.4179056,1.3470023,-0.3999915,-2.3040562,5.7773333
5,4.6168823,-1.0299151,0.14503479,0.0757156,0.05395454,-2.9987736,1.5121742,-2.99433,-1.3650966,4.549166
5,2.4783676,1.157909,-0.5793471,-0.83281493,2.6131756,0.57137334,-2.700301,0.4659457,-1.5268258,4.8398247
5,3.8405964,1.3478073,-0.28652263,0.33338022,0.09697527,-0.48912287,-0.50296926,-0.972926,-2.6496685,5.297191
5,3.1619077,1.1634824,1.3450873,-2.157642,-0.7022622,-1.8470031,1.087356,-4.051568,-1.7130101,5.4626594
5,0.6235995,-0.6109371,-0.20567602,-0.3211125,0.6194928,0.21007061,-0.22609912,1.6893969,1.029919,-1.6137279
5,0.009110212,-2.1069622,-0.30003983,-1.1362491,1.0449369,1.4099036,-0.056492656,2.6650882,2.9818854,-1.4506884
