y,z0,z1
5,-29.214785,-8.936907
5,-28.91396,-8.189013
5,-28.913284,-8.448546
5,-29.421516,-8.52883
5,-29.324219,-8.758487
5,-29.43506,-8.242975
5,-29.223137,-7.942934
5,-29.385868,-7.699465
5,-29.596483,-10.61155
5,-29.514412,-10.288579
5,-29.516363,-10.261064
5,-29.546515,-8.825965
5,-29.277128,-10.503305
5,-29.18333,-10.292784
5,-29.2982,-10.037994
5,-29.41144,-10.294935
5,-29.146412,-9.29594
5,-29.555437,-10.816476
5,-29.456814,-10.939444
5,-29.403866,-10.450842
5,-29.245045,-10.450184
5,-29.398314,-10.545555
5,-29.525335,-10.517398
5,-29.517113,-10.673958
5,-29.590973,-10.085311
5,-29.339212,-10.5927
5,-29.708035,-11.014061
5,-29.29305,-10.601667
5,-29.060991,-10.953667
5,-29.500513,-10.9503975
5,-29.487978,-8.280149
5,-29.016596,-10.726479
5,-29.4647,-10.66604
5,-29.425081,0.7800868
5,-29.462042,-3.0736086
5,-29.63801,-1.4806029
5,-29.3581,0.7440672
5,-29.349072,-0.1814129
5,-29.446634,-1.1314241
5,-29.394487,-1.0601274
5,-29.821814,-1.3580935
5,-29.692732,-2.3003795
5,-29.565567,-2.4720237
5,-29.667013,-2.7925782
5,-29.8434,-2.6201913
5,-29.528448,-2.6295807
5,-29.35181,-3.140907
5,-29.55165,-2.772845
10,-29.237251,-1.3236089
10,-29.683838,-1.4907464
10,-29.54642,-1.1861643
10,-29.546335,-1.1275908
10,-29.370571,-1.2631922
10,-29.415174,-1.1584098
10,-29.57401,-1.2219772
10,-29.450363,-1.1684757
5,-29.472507,-6.8556886
5,-29.005682,-6.359241
5,-29.127878,-6.836161
5,-29.26693,-6.563379
5,-29.08015,-6.5149627
5,-29.321959,-7.0792627
5,-29.453136,-6.664015
5,-29.410313,-7.3888407
5,-29.188177,-6.7338686
5,-29.352205,-6.7661214
5,-29.083164,-6.4454803
5,-29.570944,-6.7146482
5,-29.3257,-6.699011
5,-29.136257,-6.5706596
5,-29.459812,-6.545998
5,-29.263851,-6.444164
5,-29.178507,-5.4260573
5,-29.431738,-6.3038583
5,-29.315868,-5.1208725
5,-29.636747,-5.4646997
5,-29.537289,-6.2172785
5,-29.564838,-6.009751
5,-28.950537,-5.8842
5,-29.570517,-6.8465514
5,-28.613583,-6.430999
5,-28.896267,-6.7570868
5,-29.256416,-6.5342665
5,-29.069494,-6.414741
5,-28.938654,-6.5575376
5,-29.396116,-5.9838176
5,-29.478712,-6.113699
5,-29.228899,-6.321769
5,-29.398138,-5.940956
5,-29.512564,-5.8031898
5,-29.240788,-5.946454
5,-29.341951,-6.1286182
5,-29.351616,-5.7753015
5,-29.213717,-6.001722
5,-29.180546,-5.276598
5,-29.201958,-5.326277
5,-29.554117,-5.739619
5,-29.29053,-5.4377575
5,-29.047577,-5.428102
5,-29.740057,-6.0075774
5,-29.463459,-5.2630606
5,-29.147022,-5.8271
5,-29.73076,-5.3627563
5,-29.479033,-5.621472
5,-29.768187,-5.351135
5,-29.553537,-5.489218
5,-29.405958,-5.8186984
5,-29.479885,-5.354653
5,-28.87746,-9.786597
5,-29.041899,-9.729702
5,-29.381641,-9.720465
5,-29.14181,-9.861729
5,-29.27797,-9.473253
5,-29.139526,-9.251873
5,-29.851095,-9.849265
5,-29.29895,-9.936756
5,-29.163052,-9.593941
5,-29.356293,-9.605708
5,-29.071146,-9.635389
5,-29.453663,-10.044418
5,-28.912971,-8.384432
5,-29.230978,-9.599006
5,-29.172161,-9.885607
5,-29.313416,-9.900388
5,-29.13594,-9.705718
5,-29.040625,-9.882041
5,-29.431265,-9.670561
5,-28.778893,-9.198037
5,-29.344076,-9.034014
5,-29.200638,-10.16712
5,-29.398783,-9.596038
5,-29.065617,-9.820871
5,-29.555655,-9.956721
5,-29.566109,-9.621985
5,-29.051735,-9.5443125
5,-29.132206,-9.400567
5,-29.182512,-9.529765
5,-29.42505,-10.1429405
5,-29.040604,-9.843619
5,-29.166485,-9.710277
5,-29.171011,-9.684218
5,-29.357838,-8.379044
5,-29.445002,-9.473839
5,-29.366873,-9.238222
5,-29.726418,-9.20497
5,-29.530708,-9.588624
5,-29.295282,-9.787161
5,-28.893185,-9.853305
5,-29.323565,-9.626729
5,-29.476948,-9.800007
5,-29.071333,-8.761069
5,-29.608013,-3.4913478
5,-29.953371,-2.9891632
5,-29.330824,-3.1393735
5,-29.130209,-2.912097
5,-29.409863,-3.090251
5,-29.81228,-3.5115492
5,-29.591022,-3.2338188
5,-29.382236,-3.6564355
5,-29.497326,-2.6535954
5,-29.56604,-3.1160867
5,-29.438965,-3.4849825
5,-29.560356,-3.1471586
5,-29.648855,-2.9904962
5,-29.544832,-3.3966568
5,-29.408672,-3.0184999
5,-29.642738,-3.3444612
5,-29.280926,-3.5740495
5,-29.555113,-3.3252537
5,-29.387592,-3.6867893
5,-29.517622,-3.4590924
5,-29.83196,-3.5505261
5,-29.574583,-3.52768
5,-29.255331,-3.0124514
5,-29.49223,-3.2864094
5,-29.292578,-3.0608077
5,-29.418697,-3.4048214
5,-29.406088,-3.520101
5,-29.632303,-3.4959292
5,-29.577288,-3.477354
5,-29.350803,-3.6241667
5,-29.442057,-3.2894459
5,-30.030096,-3.4448571
5,-29.422031,-3.3131394
5,-29.643007,-3.6698816
5,-29.41464,-3.1068537
5,-29.68515,-1.3463874
5,-29.525278,-2.742766
5,-29.60084,-2.8260617
5,-29.486586,-3.2197187
5,-29.468145,-3.0548635
5,-29.605892,-3.2844417
5,-29.729963,-2.8969054
5,-29.374762,-3.2313137
5,-29.219252,-3.250366
